[2024-01-24 20:09:43] app.INFO: Generate txt template productcoverage at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\productcoverage.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template productoutofstock at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\productoutofstock.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template productoutofstock at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\productoutofstock.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template return_slip at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\return_slip.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template return_slip at C:\xampp\htdocs\exercice/modules/\ps_emailalerts\mails\ar\return_slip.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template newsletter_conf at C:\xampp\htdocs\exercice/modules/\ps_emailsubscription\mails\ar\newsletter_conf.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template newsletter_conf at C:\xampp\htdocs\exercice/modules/\ps_emailsubscription\mails\ar\newsletter_conf.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template newsletter_verif at C:\xampp\htdocs\exercice/modules/\ps_emailsubscription\mails\ar\newsletter_verif.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template newsletter_verif at C:\xampp\htdocs\exercice/modules/\ps_emailsubscription\mails\ar\newsletter_verif.txt [] []
[2024-01-24 20:09:43] app.INFO: Generate html template newsletter_voucher at C:\xampp\htdocs\exercice/modules/\ps_emailsubscription\mails\ar\newsletter_voucher.html [] []
[2024-01-24 20:09:43] app.INFO: Generate txt template newsletter_voucher at C:\xampp\htdocs\exercice/modules/\ps_emailsubscription\mails\ar\newsletter_voucher.txt [] []
[2024-01-24 20:09:44] app.INFO: Generate html template referralprogram-congratulations at C:\xampp\htdocs\exercice/modules/\referralprogram\mails\ar\referralprogram-congratulations.html [] []
[2024-01-24 20:09:44] app.INFO: Generate txt template referralprogram-congratulations at C:\xampp\htdocs\exercice/modules/\referralprogram\mails\ar\referralprogram-congratulations.txt [] []
[2024-01-24 20:09:44] app.INFO: Generate html template referralprogram-invitation at C:\xampp\htdocs\exercice/modules/\referralprogram\mails\ar\referralprogram-invitation.html [] []
[2024-01-24 20:09:44] app.INFO: Generate txt template referralprogram-invitation at C:\xampp\htdocs\exercice/modules/\referralprogram\mails\ar\referralprogram-invitation.txt [] []
[2024-01-24 20:09:44] app.INFO: Generate html template referralprogram-voucher at C:\xampp\htdocs\exercice/modules/\referralprogram\mails\ar\referralprogram-voucher.html [] []
[2024-01-24 20:09:44] app.INFO: Generate txt template referralprogram-voucher at C:\xampp\htdocs\exercice/modules/\referralprogram\mails\ar\referralprogram-voucher.txt [] []
